SP_la, SP_lo, SP_time, SP_az, SP_gcarc, S_la, S_lo, S_time, S_az, S_gcarc 
32.6237983704 -99.6430969238 3.25 48.5859565735 97.9692840576 46.082901001 -123.010803223 1.85 45.6807861328 75.7383041382
38.813999176 -99.7373962402 3.95 43.6361923218 94.2349243164 47.5641288757 -122.824981689 1.85 44.2045173645 75.3274993896
40.7370986938 -97.4511032104 3.05 41.0324211121 94.4629364014 46.1783218384 -122.216743469 1.95 45.3822021484 76.2180252075
40.8611984253 -95.6424026489 2.35 40.0687866211 95.4524383545 47.6946983337 -121.689498901 1.55 43.7920761108 75.9962692261
32.6237983704 -99.6430969238 3.15 48.5859565735 97.9692840576 43.7509689331 -121.148620605 2.35 47.3950424194 77.83644104
38.813999176 -99.7373962402 3.95 43.6361923218 94.2349243164 46.082901001 -123.010803223 1.85 45.6807861328 75.7383041382
41.9665985107 -96.3761978149 2.15 39.563583374 94.3250350952 48.0574989319 -123.503997803 3.15 43.8922843933 74.7256546021
40.8611984253 -95.6424026489 2.25 40.0687866211 95.4524383545 48.3583984375 -119.333198547 1.15 42.5435638428 77.2076873779
39.6248016357 -93.5320968628 1.35 39.9654350281 97.4830780029 47.4254608154 -121.80254364 1.75 44.0792732239 76.0240859985
32.6237983704 -99.6430969238 3.25 48.5859565735 97.9692840576 43.7509689331 -121.148620605 2.35 47.3950424194 77.83644104
38.813999176 -99.7373962402 3.95 43.6361923218 94.2349243164 43.7220115662 -121.233192444 2.45 47.4466056824 77.7910995483
30.4794006348 -99.8022003174 2.55 50.4147834778 99.1174087524 42.6954994202 -123.665397644 3.05 49.1072273254 76.5288238525
40.7370986938 -97.4511032104 3.15 41.0324211121 94.4629364014 46.4218101501 -123.798973083 2.25 45.5536956787 75.1067199707
40.8611984253 -95.6424026489 2.35 40.0687866211 95.4524383545 47.4254608154 -121.80254364 1.75 44.0792732239 76.0240859985
32.001499176 -95.8084030151 1.85 47.0883674622 100.926521301 45.973400116 -117.22769928 1.65 44.1736755371 79.489730835
32.6237983704 -99.6430969238 3.15 48.5859565735 97.9692840576 43.7220115662 -121.233192444 2.45 47.4466056824 77.7910995483
30.4794006348 -99.8022003174 2.65 50.4147834778 99.1174087524 42.6954994202 -123.665397644 3.05 49.1072273254 76.5288238525
34.5453987122 -93.576499939 1.85 43.8841323853 100.760360718 46.4218101501 -123.798973083 2.25 45.5536956787 75.1067199707
40.8611984253 -95.6424026489 2.25 40.0687866211 95.4524383545 47.4254608154 -121.80254364 1.75 44.0792732239 76.0240859985
