SP_la, SP_lo, SP_time, SP_az, SP_gcarc, S_la, S_lo, S_time, S_az, S_gcarc 
48.2976989746 -95.8619003296 7.55 43.5184364319 104.941818237 36.7640304565 -121.447219849 9.85 44.2069244385 82.9627227783
41.4082984924 -98.1501998901 9.05 49.457824707 100.868026733 34.4407615662 -119.714920044 9.25 46.9282150269 82.6864395142
47.1355018616 -97.0164031982 7.35 44.3535842896 103.799217224 32.9799003601 -118.546966553 9.85 48.6936340332 82.6153106689
45.8398017883 -96.2929000854 7.65 45.7840156555 103.794197083 33.9954299927 -119.635101318 9.55 47.3281288147 82.4756164551
45.8618011475 -93.5241012573 9.55 46.4568443298 105.616737366 35.314201355 -119.995811462 10.05 46.0846633911 83.0212402344
42.6228981018 -98.754699707 9.25 48.141204834 100.935440063 33.2478713989 -119.524368286 9.55 47.989440918 82.1081924438
48.2976989746 -95.8619003296 7.65 43.5184364319 104.941818237 34.253528595 -118.333831787 9.45 47.7580490112 83.5000610352
47.1355018616 -97.0164031982 7.35 44.3535842896 103.799217224 34.1061782837 -118.455047607 9.65 47.8192672729 83.3327102661
45.8398017883 -96.2929000854 7.65 45.7840156555 103.794197083 33.712638855 -118.293807983 9.95 48.2191886902 83.2130355835
45.8618011475 -93.5241012573 9.55 46.4568443298 105.616737366 38.1447792053 -122.880180359 9.55 42.4048309326 82.9251403809
43.8916015625 -90.6176986694 9.85 49.0916023254 106.940841675 34.6144981384 -118.723503113 9.45 47.2744827271 83.4492492676
42.6472015381 -92.7708969116 9.05 49.7848320007 105.049736023 34.1714096069 -118.18522644 9.45 47.8972206116 83.5525360107
41.9665985107 -96.3761978149 9.15 49.4555053711 102.309059143 35.4077301025 -120.545562744 8.55 45.7372550964 82.7182922363
42.0628013611 -91.2218017578 9.35 50.7516174316 105.939414978 33.7434616089 -118.404121399 9.75 48.14012146 83.1561737061
40.7370986938 -97.4511032104 8.65 50.2974433899 101.090805054 33.5525894165 -117.661712646 9.85 48.657497406 83.5507278442
40.8611984253 -95.6424026489 9.45 50.7154464722 102.407341003 35.314201355 -119.995811462 10.05 46.0846633911 83.0212402344
