SP_la, SP_lo, SP_time, SP_az, SP_gcarc, S_la, S_lo, S_time, S_az, S_gcarc 
44.0149002075 -93.4002990723 15.85 47.4552275886 102.69489618 35.4795417786 -117.682121277 16.65 46.1709966028 82.2706611097
43.8916015625 -90.6176986694 17.05 48.2512014093 104.55333844 33.351600647 -116.561500549 18.55 48.4660032879 81.8081810887
42.9141998291 -90.2481002808 -29.95 49.2987330744 104.50442491 32.891998291 -116.422302246 19.15 48.915143926 81.6444047859
42.9141998291 -90.2481002808 17.15 49.2987330744 104.50442491 36.0579910278 -117.489013672 17.55 45.7887690634 82.7339427296
42.6472015381 -92.7708969116 14.65 48.9355353955 102.662240942 34.8884811401 -119.813621521 9.25 45.6077476316 80.5137306837
42.7043991089 -88.3320007324 18.05 49.9491176811 105.784276507 33.5999908447 -117.195426941 18.45 47.9538008402 81.5147519017
42.0628013611 -91.2218017578 30.05 49.8944206802 103.550929963 34.2236213684 -118.058319092 18.05 47.0193306353 81.2893998115
42.0040016174 -89.6669998169 17.85 50.3320461679 104.630149986 34.6144981384 -118.723503113 17.75 46.3724273625 81.0726036538
42.1781997681 -87.9119033813 18.05 50.5675845388 105.927863465 34.1714096069 -118.18522644 18.05 46.9999850171 81.1735798293
40.7930984497 -93.2350006104 16.75 50.5954302804 101.698266168 34.4407615662 -119.714920044 26.05 46.0204125053 80.3111753216
40.707698822 -90.8552017212 15.55 51.3056622814 103.370214547 33.9954299927 -119.635101318 17.85 46.4225490369 80.098704376
40.1525993347 -88.4671020508 16.35 52.4450624088 104.923689166 33.5525894165 -117.661712646 18.75 47.7656748769 81.1693297062
39.6408996582 -89.5213012695 16.05 52.6857340765 103.993955818 33.5518989563 -116.61289978 18.65 48.2750041016 81.8864204717
39.6178016663 -87.206703186 17.35 53.2775522667 105.687597277 27.3198051453 -112.241012573 18.25 55.6275792368 81.6665368397
41.9068984985 -93.2153015137 -29.95 49.5325469773 102.099209096 33.573600769 -116.674697876 18.45 48.2272807164 81.8563149851
48.3602981567 -93.7260971069 15.55 43.1623740092 103.935257006 34.3334083557 -118.025848389 18.55 46.9450683151 81.3750980359
46.1002998352 -89.1369018555 17.35 46.388628241 106.215815715 36.4398803711 -118.080162048 16.05 45.1946672415 82.5684744967
47.1355018616 -97.0164031982 14.65 43.5454046217 101.42870271 34.6374511719 -115.381149292 16.95 47.9547399468 83.3414193969
47.0605010986 -88.5656967163 16.15 45.5411397231 106.863249907 34.253528595 -118.333831787 17.85 46.859636393 81.1215904705
46.6058006287 -91.5541992188 16.65 45.36778148 104.769759992 33.712638855 -118.293807983 18.75 47.3231166733 80.8329670506
47.9462013245 -91.495300293 15.85 44.0578590282 105.220246759 33.4947013855 -116.602203369 10.35 48.3276149273 81.8613144521
47.9462013245 -91.495300293 15.85 44.0578590282 105.220246759 36.4671897888 -116.863220215 16.65 45.7476564261 83.3826806141
45.8398017883 -96.2929000854 14.75 44.9643603973 101.417290117 33.0514907837 -114.827056885 18.15 49.5400143288 82.8451311417
45.8618011475 -93.5241012573 22.75 45.6384764726 103.236257157 34.7845687866 -115.659942627 16.75 47.7022815072 83.2336092534
45.7587013245 -88.1346969604 30.05 46.936766261 106.790472688 36.9960784912 -117.366210938 15.75 45.0779165897 83.3582630948
38.3813438416 -88.3896484375 16.25 54.2071025865 104.434063565 29.0197525024 -110.949302673 16.35 54.7599790524 83.5196418817
45.2683982849 -90.2005996704 22.85 46.9879715646 105.259072258 32.6501197815 -116.109481812 19.15 49.2672892634 81.725764263
44.4696998596 -87.770401001 18.45 48.306822039 106.680014904 34.1573791504 -115.145126343 17.65 48.4653254336 83.2360198155
43.8916015625 -90.6176986694 17.85 48.2512014093 104.55333844 33.714099884 -116.711898804 17.85 48.0928854203 81.9106701386
43.8908004761 -88.9133987427 18.05 48.6393929381 105.726763395 35.4795417786 -117.682121277 16.65 46.1709966028 82.2706611097
42.9141998291 -90.2481002808 30.05 49.2987330744 104.50442491 33.351600647 -116.561500549 18.55 48.4660032879 81.8081810887
42.6472015381 -92.7708969116 23.05 48.9355353955 102.662240942 32.891998291 -116.422302246 19.15 48.915143926 81.6444047859
42.7043991089 -88.3320007324 17.45 49.9491176811 105.784276507 36.0579910278 -117.489013672 17.55 45.7887690634 82.7339427296
42.0628013611 -91.2218017578 -29.95 49.8944206802 103.550929963 34.8884811401 -119.813621521 9.25 45.6077476316 80.5137306837
42.0040016174 -89.6669998169 17.05 50.3320461679 104.630149986 33.5999908447 -117.195426941 18.45 47.9538008402 81.5147519017
42.1781997681 -87.9119033813 17.25 50.5675845388 105.927863465 34.2236213684 -118.058319092 18.05 47.0193306353 81.2893998115
40.7930984497 -93.2350006104 15.95 50.5954302804 101.698266168 34.1714096069 -118.18522644 18.05 46.9999850171 81.1735798293
40.707698822 -90.8552017212 22.95 51.3056622814 103.370214547 34.1714096069 -118.18522644 18.05 46.9999850171 81.1735798293
40.1525993347 -88.4671020508 23.25 52.4450624088 104.923689166 34.3033599854 -114.141517639 14.55 48.8059661408 84.0096282645
39.6248016357 -93.5320968628 17.25 51.6291970114 101.073528573 34.8753318787 -116.996841431 16.35 46.9960158587 82.3802166317
40.3790016174 -87.0967025757 17.85 52.5463412655 105.991675504 34.1064682007 -117.098220825 18.55 47.5821926591 81.8710971312
45.2246017456 -92.8037033081 17.15 46.4304270792 103.501511353 35.4358406067 -115.92388916 16.75 47.0381434284 83.4213548009
48.3602981567 -93.7260971069 14.75 43.1623740092 103.935257006 34.3334083557 -118.025848389 18.55 46.9450683151 81.3750980359
46.1002998352 -89.1369018555 16.65 46.388628241 106.215815715 36.4398803711 -118.080162048 16.05 45.1946672415 82.5684744967
47.0605010986 -88.5656967163 22.55 45.5411397231 106.863249907 34.6374511719 -115.381149292 16.95 47.9547399468 83.3414193969
46.6058006287 -91.5541992188 15.75 45.36778148 104.769759992 34.8810997009 -117.993881226 16.65 46.5112796012 81.7152140844
46.3758010864 -86.9953994751 16.65 46.5370391495 107.719878137 33.712638855 -118.293807983 18.75 47.3231166733 80.8329670506
47.9462013245 -91.495300293 16.65 44.0578590282 105.220246759 33.4947013855 -116.602203369 10.35 48.3276149273 81.8613144521
47.9462013245 -91.495300293 16.65 44.0578590282 105.220246759 36.4671897888 -116.863220215 16.65 45.7476564261 83.3826806141
45.8618011475 -93.5241012573 15.25 45.6384764726 103.236257157 33.0514907837 -114.827056885 18.15 49.5400143288 82.8451311417
45.7587013245 -88.1346969604 -29.95 46.936766261 106.790472688 34.7845687866 -115.659942627 16.75 47.7022815072 83.2336092534
45.2683982849 -90.2005996704 15.95 46.9879715646 105.259072258 34.8293991089 -116.334999084 16.05 47.3481615512 82.8007057833
44.0149002075 -93.4002990723 16.75 47.4552275886 102.69489618 32.6501197815 -116.109481812 19.15 49.2672892634 81.725764263
43.8916015625 -90.6176986694 17.05 48.2512014093 104.55333844 34.1573791504 -115.145126343 17.65 48.4653254336 83.2360198155
43.8908004761 -88.9133987427 17.25 48.6393929381 105.726763395 35.6627807617 -118.474029541 17.85 45.6389439909 81.8543312526
42.9141998291 -90.2481002808 -29.95 49.2987330744 104.50442491 33.714099884 -116.711898804 17.85 48.0928854203 81.9106701386
42.9141998291 -90.2481002808 17.85 49.2987330744 104.50442491 35.4795417786 -117.682121277 16.65 46.1709966028 82.2706611097
42.6472015381 -92.7708969116 14.65 48.9355353955 102.662240942 33.351600647 -116.561500549 18.55 48.4660032879 81.8081810887
42.0628013611 -91.2218017578 30.05 49.8944206802 103.550929963 32.891998291 -116.422302246 19.15 48.915143926 81.6444047859
42.0040016174 -89.6669998169 17.85 50.3320461679 104.630149986 36.0579910278 -117.489013672 17.55 45.7887690634 82.7339427296
42.1781997681 -87.9119033813 18.05 50.5675845388 105.927863465 34.8884811401 -119.813621521 9.25 45.6077476316 80.5137306837
